time,W,
1657311658,0.0,
1657311659,0.0,
1657311660,0.0,
1657311661,4.76,
1657311662,4.473,
1657311663,4.615,
1657311664,4.489,
1657311665,4.477,
1657311666,4.641,
1657311667,4.641,
1657311668,4.447,
1657311669,4.45,
1657311670,4.783,
1657311671,4.996,
1657311672,4.897,
1657311673,4.649,
1657311674,4.87,
1657311675,4.87,
1657311676,4.821,
1657311677,4.821,
1657311678,4.897,
1657311679,4.611,
1657311680,4.908,
1657311681,4.836,
1657311682,4.733,
1657311683,4.752,
1657311684,4.607,
1657311685,4.542,
1657311686,4.244,
1657311687,4.729,
1657311688,4.206,
1657311689,4.389,
1657311690,4.657,
1657311691,4.683,
1657311692,4.939,
1657311693,4.878,
1657311694,4.611,
1657311695,4.603,
1657311696,4.599,
1657311697,4.962,
1657311698,5.115,
1657311699,5.519,
1657311700,5.851,
1657311701,5.779,
1657311702,5.397,
1657311703,5.489,
1657311704,5.817,
1657311705,5.79,
1657311706,5.783,
1657311707,5.489,
1657311708,5.576,
1657311709,4.679,
1657311710,4.378,
1657311711,4.63,
1657311712,4.752,
1657311713,4.897,
1657311714,4.695,
1657311715,4.649,
1657311716,5.099,
1657311717,4.817,
1657311718,4.615,
1657311719,4.977,
1657311720,4.847,
1657311721,4.657,
1657311722,4.977,
1657311723,4.901,
1657311724,4.576,
1657311725,4.924,
1657311726,4.97,
1657311727,4.611,
1657311728,4.649,
1657311729,4.641,
1657311730,4.527,
1657311731,4.718,
1657311732,4.603,
1657311733,4.573,
1657311734,4.935,
1657311735,4.313,
1657311736,4.924,
1657311737,4.924,
1657311738,4.645,
1657311739,4.542,
1657311740,4.809,
1657311741,5.023,
1657311742,4.981,
1657311743,4.95,
1657311744,4.554,
1657311745,4.554,
1657311746,4.71,
1657311747,4.729,
1657311748,4.657,
1657311749,4.859,
1657311750,4.691,
1657311751,4.637,
1657311752,4.798,
1657311753,4.962,
1657311754,4.603,
1657311755,4.397,
1657311756,4.397,
1657311757,4.584,
1657311758,5.29,
1657311759,5.466,
1657311760,5.321,
1657311761,5.332,
1657311762,5.702,
1657311763,5.401,
1657311764,5.286,
1657311765,5.512,
1657311766,5.641,
1657311767,5.409,
1657311768,5.389,
1657311769,4.889,
1657311770,4.596,
1657311771,4.668,
1657311772,4.668,
1657311773,4.55,
1657311774,4.191,
1657311775,4.599,
1657311776,4.492,
1657311777,4.702,
1657311778,4.702,
1657311779,4.805,
1657311780,5.027,
1657311781,4.569,
1657311782,4.569,
1657311783,4.622,
1657311784,4.622,
1657311785,4.622,
1657311786,4.622,
1657311787,4.958,
1657311788,4.867,
1657311789,4.596,
1657311790,4.576,
1657311791,4.489,
1657311792,4.492,
1657311793,5.05,
1657311794,4.492,
1657311795,4.87,
1657311796,4.763,
1657311797,4.889,
1657311798,4.867,
1657311799,4.985,
1657311800,4.744,
1657311801,4.66,
1657311802,4.611,
1657311803,4.95,
1657311804,4.962,
1657311805,4.683,
1657311806,5.038,
1657311807,4.897,
1657311808,4.622,
1657311809,4.901,
1657311810,4.714,
1657311811,4.359,
1657311812,4.359,
1657311813,4.42,
1657311814,4.191,
1657311815,4.603,
1657311816,4.603,
1657311817,4.603,
1657311818,4.603,
1657311819,4.603,
1657311820,4.603,
1657311821,4.603,
1657311822,4.603,
1657311823,4.687,
1657311824,5.626,
1657311825,5.412,
1657311826,5.298,
1657311827,5.489,
1657311828,5.676,
1657311829,5.435,
1657311830,4.599,
1657311831,4.931,
1657311832,4.645,
1657311833,4.596,
1657311834,4.741,
1657311835,4.741,
1657311836,4.584,
1657311837,4.584,
1657311838,4.515,
1657311839,4.515,
1657311840,4.515,
1657311841,4.737,
1657311842,4.844,
1657311843,4.844,
1657311844,4.679,
1657311845,4.634,
1657311846,4.996,
1657311847,4.679,
1657311848,4.752,
1657311849,5.05,
1657311850,5.073,
1657311851,4.973,
1657311852,4.737,
1657311853,4.702,
1657311854,4.546,
1657311855,4.718,
1657311856,4.691,
1657311857,4.515,
1657311858,4.515,
1657311859,4.561,
1657311860,4.202,
1657311861,4.66,
1657311862,4.66,
1657311863,4.66,
1657311864,4.66,
1657311865,4.611,
1657311866,4.855,
1657311867,4.683,
1657311868,4.683,
1657311869,4.699,
1657311870,4.691,
1657311871,4.561,
1657311872,4.924,
1657311873,5.027,
1657311874,4.771,
1657311875,4.771,
1657311876,4.813,
1657311877,4.981,
1657311878,5.653,
1657311879,5.653,
1657311880,5.363,
1657311881,5.363,
1657311882,5.462,
1657311883,5.882,
1657311884,5.634,
1657311885,5.481,
1657311886,5.428,
1657311887,5.458,
1657311888,5.458,
1657311889,4.588,
1657311890,4.897,
1657311891,5.023,
1657311892,4.492,
1657311893,4.714,
1657311894,4.714,
1657311895,4.844,
1657311896,4.92,
1657311897,4.882,
1657311898,4.882,
1657311899,4.882,
1657311900,5.023,
1657311901,5.023,
1657311902,5.023,
1657311903,5.023,
1657311904,4.855,
1657311905,4.943,
1657311906,4.748,
1657311907,4.634,
1657311908,4.657,
1657311909,4.657,
1657311910,4.657,
1657311911,4.653,
1657311912,4.573,
1657311913,4.847,
1657311914,4.267,
1657311915,4.527,
1657311916,4.592,
1657311917,4.596,
1657311918,4.596,
1657311919,4.596,
1657311920,4.699,
1657311921,4.71,
1657311922,4.702,
1657311923,4.935,
1657311924,4.935,
1657311925,4.935,
1657311926,4.882,
1657311927,4.607,
1657311928,4.752,
1657311929,5.015,
1657311930,4.916,
1657311931,4.844,
1657311932,4.844,
1657311933,4.844,
1657311934,4.844,
1657311935,4.779,
1657311936,4.58,
1657311937,4.889,
1657311938,4.889,
1657311939,5.473,
1657311940,5.473,
1657311941,5.527,
1657311942,5.512,
1657311943,5.512,
1657311944,5.512,
1657311945,5.512,
1657311946,5.519,
1657311947,5.382,
1657311948,4.741,
1657311949,4.58,
1657311950,4.649,
1657311951,4.92,
1657311952,4.947,
1657311953,4.947,
1657311954,4.947,
1657311955,4.947,
1657311956,4.657,
1657311957,4.977,
1657311958,4.775,
1657311959,4.565,
1657311960,4.565,
1657311961,4.447,
1657311962,4.389,
1657311963,4.389,
1657311964,4.389,
1657311965,4.756,
1657311966,4.676,
1657311967,4.664,
1657311968,4.733,
1657311969,5.004,
1657311970,5.004,
1657311971,4.691,
1657311972,4.763,
1657311973,4.867,
1657311974,4.767,
1657311975,4.718,
1657311976,4.767,
1657311977,4.786,
1657311978,4.653,
1657311979,5.019,
1657311980,4.935,
1657311981,4.809,
1657311982,4.63,
1657311983,4.683,
1657311984,4.489,
1657311985,4.954,
1657311986,4.813,
1657311987,4.275,
1657311988,4.794,
1657311989,4.794,
1657311990,4.794,
1657311991,4.889,
1657311992,4.519,
1657311993,4.519,
1657311994,4.519,
1657311995,4.92,
1657311996,4.783,
1657311997,4.783,
1657311998,5.477,
1657311999,5.554,
1657312000,5.737,
1657312001,5.386,
1657312002,5.481,
1657312003,5.592,
1657312004,5.592,
1657312005,5.439,
1657312006,5.447,
1657312007,5.603,
1657312008,5.603,
1657312009,5.603,
1657312010,4.916,
1657312011,4.607,
1657312012,4.878,
1657312013,4.424,
1657312014,4.481,
1657312015,4.481,
1657312016,4.424,
1657312017,4.95,
1657312018,4.569,
1657312019,5.004,
1657312020,5.004,
1657312021,5.004,
1657312022,5.065,
1657312023,4.721,
1657312024,5.046,
1657312025,4.641,
1657312026,4.641,
1657312027,4.935,
1657312028,5.004,
1657312029,4.813,
1657312030,4.786,
1657312031,4.634,
1657312032,4.908,
1657312033,4.908,
1657312034,4.767,
1657312035,4.756,
1657312036,4.599,
1657312037,4.599,
1657312038,4.599,
1657312039,4.867,
1657312040,4.867,
1657312041,4.561,
1657312042,4.561,
1657312043,4.328,
1657312044,4.328,
1657312045,4.477,
1657312046,4.477,
1657312047,4.477,
1657312048,4.477,
1657312049,5.027,
1657312050,4.748,
1657312051,5.122,
1657312052,4.783,
1657312053,5.008,
1657312054,5.008,
1657312055,5.008,
1657312056,4.958,
1657312057,4.958,
1657312058,4.958,
1657312059,5.653,
1657312060,5.653,
1657312061,5.653,
1657312062,5.653,
1657312063,5.645,
1657312064,5.832,
1657312065,5.733,
1657312066,5.336,
1657312067,5.489,
1657312068,4.683,
1657312069,4.626,
1657312070,4.966,
1657312071,4.592,
1657312072,4.725,
1657312073,4.672,
1657312074,5.08,
1657312075,5.08,
1657312076,5.08,
1657312077,4.76,
1657312078,4.901,
1657312079,4.798,
1657312080,4.798,
1657312081,4.58,
1657312082,5.0,
1657312083,4.84,
1657312084,4.554,
1657312085,4.973,
1657312086,4.756,
1657312087,4.431,
1657312088,4.649,
1657312089,4.649,
1657312090,4.649,
1657312091,4.771,
1657312092,4.771,
1657312093,4.771,
1657312094,4.359,
1657312095,4.618,
1657312096,4.618,
1657312097,4.752,
1657312098,4.607,
1657312099,4.672,
1657312100,5.042,
1657312101,5.042,
1657312102,4.802,
1657312103,4.805,
1657312104,4.649,
1657312105,4.973,
1657312106,4.97,
1657312107,4.683,
1657312108,4.721,
1657312109,4.992,
1657312110,4.744,
1657312111,4.889,
1657312112,4.741,
1657312113,4.954,
1657312114,4.618,
1657312115,4.618,
1657312116,4.618,
1657312117,5.092,
1657312118,5.481,
1657312119,5.649,
1657312120,5.649,
1657312121,5.817,
1657312122,5.405,
1657312123,5.431,
1657312124,5.702,
1657312125,5.702,
1657312126,5.702,
1657312127,4.779,
1657312128,4.886,
1657312129,5.054,
1657312130,4.809,
1657312131,4.897,
1657312132,4.889,
1657312133,4.63,
1657312134,5.088,
1657312135,4.691,
1657312136,4.882,
1657312137,4.645,
1657312138,4.672,
1657312139,4.683,
1657312140,4.534,
1657312141,4.695,
1657312142,4.996,
1657312143,5.168,
1657312144,4.508,
1657312145,5.065,
1657312146,4.817,
1657312147,4.683,
1657312148,4.889,
1657312149,5.019,
1657312150,5.019,
1657312151,5.019,
1657312152,4.859,
1657312153,4.798,
1657312154,5.061,
1657312155,4.756,
1657312156,4.908,
1657312157,4.886,
1657312158,4.741,
1657312159,4.943,
1657312160,5.0,
1657312161,5.0,
1657312162,4.744,
1657312163,4.744,
1657312164,4.744,
1657312165,4.47,
1657312166,4.813,
1657312167,4.344,
1657312168,4.603,
1657312169,4.435,
1657312170,4.79,
1657312171,4.954,
1657312172,4.588,
1657312173,4.439,
1657312174,5.065,
1657312175,4.279,
1657312176,4.473,
1657312177,5.576,
1657312178,5.26,
1657312179,5.405,
1657312180,5.859,
1657312181,5.386,
1657312182,5.183,
1657312183,5.534,
1657312184,5.84,
1657312185,5.84,
1657312186,5.84,
1657312187,5.741,
1657312188,4.496,
1657312189,4.763,
1657312190,4.596,
1657312191,4.5,
1657312192,4.679,
1657312193,4.58,
1657312194,4.825,
1657312195,4.863,
1657312196,4.97,
1657312197,4.97,
1657312198,4.699,
1657312199,4.985,
1657312200,4.729,
1657312201,4.729,
1657312202,4.668,
1657312203,4.889,
1657312204,4.84,
1657312205,4.294,
1657312206,4.294,
1657312207,4.668,
1657312208,4.943,
1657312209,4.683,
1657312210,4.584,
1657312211,4.886,
1657312212,4.886,
1657312213,4.672,
1657312214,5.031,
1657312215,4.802,
1657312216,4.935,
1657312217,4.859,
1657312218,4.859,
1657312219,4.859,
1657312220,4.928,
1657312221,4.939,
1657312222,4.748,
1657312223,4.748,
1657312224,4.748,
1657312225,4.569,
1657312226,4.351,
1657312227,4.637,
1657312228,4.305,
1657312229,4.305,
1657312230,4.916,
1657312231,4.561,
1657312232,4.954,
1657312233,4.97,
1657312234,4.744,
1657312235,5.031,
1657312236,4.679,
1657312237,4.863,
1657312238,5.825,
1657312239,5.546,
1657312240,5.802,
1657312241,5.767,
1657312242,5.599,
1657312243,5.737,
1657312244,5.805,
1657312245,5.809,
1657312246,5.794,
1657312247,5.874,
1657312248,5.638,
1657312249,4.718,
1657312251,4.718,
1657312252,4.531,
1657312253,4.695,
1657312254,4.305,
1657312255,4.989,
1657312256,4.737,
1657312257,4.573,
1657312258,4.981,
1657312259,4.756,
1657312260,4.756,
