time,W,
1657341372,0.0,
1657341373,5.019,
1657341374,5.019,
1657341375,5.019,
1657341376,4.817,
1657341377,4.966,
1657341378,4.828,
1657341379,4.828,
1657341380,4.828,
1657341381,4.977,
1657341382,4.874,
1657341383,4.897,
1657341384,4.844,
1657341385,5.034,
1657341386,4.821,
1657341387,5.065,
1657341388,4.794,
1657341389,5.088,
1657341390,4.786,
1657341391,4.97,
1657341392,4.97,
1657341393,4.97,
1657341394,4.958,
1657341395,5.0,
1657341396,5.0,
1657341397,5.0,
1657341398,5.92,
1657341399,5.92,
1657341400,5.775,
1657341401,5.775,
1657341402,5.496,
1657341403,5.496,
1657341404,5.71,
1657341405,5.546,
1657341406,5.721,
1657341407,5.76,
1657341408,5.504,
1657341409,5.176,
1657341410,5.034,
1657341411,5.004,
1657341412,4.985,
1657341413,5.034,
1657341414,5.111,
1657341415,4.893,
1657341416,5.099,
1657341417,4.947,
1657341418,4.786,
1657341419,5.16,
1657341420,4.859,
1657341421,5.13,
1657341422,4.828,
1657341423,4.954,
1657341424,4.97,
1657341425,4.916,
1657341426,4.97,
1657341428,4.97,
1657341429,4.947,
1657341430,4.767,
1657341431,5.076,
1657341432,4.916,
1657341433,4.973,
1657341434,5.012,
1657341435,5.012,
1657341436,5.012,
1657341437,4.924,
1657341438,5.107,
1657341439,5.107,
1657341440,5.107,
1657341441,5.019,
1657341442,5.065,
1657341443,5.0,
1657341444,4.878,
1657341445,5.076,
1657341446,4.832,
1657341447,5.038,
1657341448,5.027,
1657341449,4.966,
1657341450,4.966,
1657341451,4.966,
1657341452,4.897,
1657341453,4.897,
1657341454,5.099,
1657341455,5.023,
1657341456,4.992,
1657341457,5.042,
1657341458,4.786,
1657341459,5.939,
1657341460,5.878,
1657341461,5.244,
1657341462,5.783,
1657341463,5.981,
1657341464,5.538,
1657341465,5.68,
1657341466,5.683,
1657341467,5.874,
1657341468,5.55,
1657341469,5.725,
1657341470,5.05,
1657341471,4.859,
1657341472,4.84,
1657341473,4.84,
1657341474,4.95,
1657341475,5.023,
1657341476,4.962,
1657341477,4.973,
1657341478,5.004,
1657341479,5.157,
1657341480,5.157,
1657341481,5.118,
1657341482,4.805,
1657341483,4.954,
1657341484,4.901,
1657341485,5.023,
1657341486,5.0,
1657341487,4.931,
1657341488,4.767,
1657341489,4.889,
1657341490,5.004,
1657341491,5.057,
1657341492,5.038,
1657341493,5.073,
1657341494,5.073,
1657341495,5.073,
1657341496,4.962,
1657341497,4.962,
1657341498,4.962,
1657341499,5.107,
1657341500,5.027,
1657341501,5.027,
1657341502,5.027,
1657341503,4.935,
1657341504,4.931,
1657341505,4.889,
1657341506,5.012,
1657341507,5.179,
1657341508,5.038,
1657341509,5.004,
1657341510,5.004,
1657341511,5.012,
1657341512,5.084,
1657341513,4.847,
1657341514,4.947,
1657341515,4.916,
1657341516,5.042,
1657341517,5.019,
1657341518,5.012,
1657341519,5.489,
1657341520,5.867,
1657341521,5.763,
1657341522,5.763,
1657341523,5.573,
1657341524,5.66,
1657341525,5.71,
1657341526,5.844,
1657341527,5.878,
1657341528,5.691,
1657341529,5.58,
1657341530,4.767,
1657341531,5.26,
1657341532,4.901,
1657341533,4.943,
1657341534,5.012,
1657341535,5.034,
1657341536,4.973,
1657341537,5.004,
1657341538,5.061,
