time,W,
1657324726,0.0,
1657324727,4.431,
1657324728,4.435,
1657324729,4.989,
1657324730,4.798,
1657324731,4.798,
1657324732,4.916,
1657324733,4.916,
1657324734,4.779,
1657324735,4.763,
1657324736,4.752,
1657324737,4.935,
1657324738,4.786,
1657324739,4.851,
1657324740,4.664,
1657324741,4.802,
1657324742,4.859,
1657324743,4.607,
1657324744,4.847,
1657324745,4.821,
1657324746,4.76,
1657324747,4.813,
1657324748,4.779,
1657324749,4.893,
1657324750,4.802,
1657324751,4.802,
1657324752,4.428,
1657324753,4.966,
1657324754,4.47,
1657324755,4.878,
1657324756,4.878,
1657324757,4.897,
1657324758,4.752,
1657324759,4.844,
1657324760,4.916,
1657324761,4.573,
1657324762,5.0,
1657324763,4.641,
1657324764,4.931,
1657324765,4.676,
1657324766,4.935,
1657324767,4.779,
1657324768,4.752,
1657324769,4.752,
1657324770,4.916,
1657324771,4.798,
1657324772,4.878,
1657324773,4.836,
1657324774,4.786,
1657324775,4.893,
1657324776,4.695,
1657324777,5.004,
1657324778,5.008,
1657324779,5.447,
1657324780,5.84,
1657324781,5.76,
1657324782,5.714,
1657324783,5.767,
1657324784,5.943,
1657324785,5.943,
1657324786,5.878,
1657324787,5.569,
1657324788,5.618,
1657324789,5.817,
1657324790,4.481,
1657324791,4.996,
1657324792,4.741,
1657324793,4.828,
1657324794,4.943,
1657324795,4.744,
1657324796,4.855,
1657324797,4.817,
1657324798,4.878,
1657324799,4.775,
1657324800,4.771,
1657324801,4.783,
1657324802,4.985,
1657324803,4.828,
1657324804,4.924,
1657324805,4.828,
1657324806,4.958,
1657324807,4.863,
1657324808,4.821,
1657324809,4.874,
1657324810,4.721,
1657324811,4.981,
1657324812,4.981,
1657324813,4.855,
1657324814,4.825,
1657324815,4.928,
1657324816,4.798,
1657324817,4.855,
1657324818,4.882,
1657324819,4.691,
1657324820,4.992,
1657324821,4.63,
1657324822,4.924,
1657324823,4.794,
1657324824,4.886,
1657324825,4.783,
1657324826,4.817,
1657324827,4.798,
1657324828,4.733,
1657324829,4.989,
1657324830,4.607,
1657324831,4.996,
1657324832,4.767,
1657324833,4.855,
1657324834,5.019,
1657324835,4.729,
1657324836,4.943,
1657324837,4.943,
1657324838,5.317,
1657324839,5.538,
1657324840,5.71,
1657324841,5.706,
1657324842,5.836,
1657324843,5.645,
1657324844,5.71,
1657324845,5.802,
1657324846,5.847,
1657324847,5.454,
1657324848,5.863,
1657324849,4.802,
1657324850,4.886,
1657324851,4.825,
1657324852,4.924,
1657324853,4.676,
1657324854,4.832,
1657324855,4.767,
1657324856,4.794,
1657324857,4.943,
1657324858,4.847,
1657324859,4.706,
1657324860,5.012,
1657324861,4.66,
1657324862,4.66,
1657324863,4.691,
1657324864,4.744,
1657324865,4.744,
1657324866,4.847,
1657324867,4.672,
1657324868,4.645,
1657324869,4.889,
1657324870,4.508,
1657324871,4.947,
1657324872,4.664,
1657324873,4.958,
1657324874,4.798,
1657324875,4.763,
1657324876,4.966,
1657324877,4.683,
1657324878,4.847,
1657324879,4.889,
1657324880,4.79,
1657324881,4.832,
1657324882,4.87,
1657324883,4.897,
1657324884,4.744,
1657324885,4.744,
1657324886,4.607,
1657324887,5.0,
1657324888,5.0,
1657324889,4.756,
1657324890,5.023,
1657324891,4.874,
1657324892,4.779,
1657324893,4.825,
1657324894,4.966,
1657324895,4.531,
1657324896,4.87,
1657324897,4.836,
1657324898,4.836,
1657324899,5.561,
1657324900,5.767,
1657324901,5.607,
1657324902,5.607,
1657324903,5.718,
1657324904,5.534,
1657324905,5.534,
1657324906,5.534,
1657324907,5.534,
1657324908,5.714,
1657324909,4.908,
1657324910,4.908,
1657324911,4.809,
1657324912,4.76,
1657324913,4.832,
1657324914,4.817,
1657324915,4.817,
1657324916,4.657,
1657324917,4.622,
1657324918,4.706,
1657324919,4.886,
1657324920,5.012,
1657324921,4.706,
1657324922,4.76,
1657324923,4.76,
1657324924,4.847,
1657324925,4.882,
1657324926,4.779,
1657324927,4.775,
1657324928,4.97,
1657324929,4.76,
1657324930,4.847,
1657324931,4.798,
1657324932,4.912,
1657324933,4.725,
1657324934,4.825,
