time,W,
1657309541,0.0,
1657309542,5.855,
1657309543,5.805,
1657309544,5.951,
1657309545,5.977,
1657309546,5.992,
1657309547,6.008,
1657309548,5.947,
1657309549,5.126,
1657309550,5.263,
1657309551,5.397,
1657309552,5.397,
1657309553,5.26,
1657309554,5.279,
1657309555,5.412,
1657309556,5.412,
1657309557,5.347,
1657309558,5.29,
1657309559,5.241,
1657309560,5.412,
1657309561,5.286,
1657309562,5.233,
1657309563,5.351,
1657309564,5.405,
1657309565,5.275,
1657309566,5.286,
1657309567,5.267,
1657309568,5.267,
1657309569,5.351,
1657309570,5.298,
1657309571,5.294,
1657309572,5.21,
1657309573,5.481,
1657309574,5.305,
1657309575,5.397,
1657309576,5.229,
1657309577,5.229,
1657309578,5.229,
1657309579,5.229,
1657309580,5.367,
1657309581,5.367,
1657309582,5.267,
1657309583,5.317,
1657309584,5.344,
1657309585,5.374,
1657309586,5.359,
1657309587,5.271,
1657309588,5.321,
1657309589,5.42,
1657309590,5.42,
1657309591,5.309,
1657309592,5.336,
1657309593,5.447,
1657309594,5.447,
1657309595,5.187,
1657309596,5.305,
1657309597,5.454,
1657309598,5.805,
1657309599,5.832,
1657309600,6.031,
1657309601,5.672,
1657309602,5.958,
1657309603,5.954,
1657309604,6.012,
1657309605,5.924,
1657309606,5.947,
1657309607,6.015,
1657309608,5.909,
1657309609,5.947,
1657309610,5.947,
1657309611,5.363,
1657309612,5.523,
1657309613,5.447,
1657309614,5.42,
1657309615,5.176,
1657309616,5.405,
1657309617,5.363,
1657309618,5.481,
1657309619,5.225,
1657309620,5.424,
1657309621,5.244,
1657309622,5.466,
1657309623,5.428,
1657309624,5.34,
1657309625,5.359,
1657309626,5.45,
1657309627,5.336,
1657309628,5.256,
1657309629,5.256,
1657309630,5.34,
1657309631,5.382,
1657309632,5.252,
1657309633,5.263,
1657309634,5.458,
1657309635,5.397,
1657309636,5.34,
1657309637,5.321,
1657309638,5.355,
1657309639,5.363,
1657309640,5.405,
1657309641,5.363,
1657309642,5.382,
1657309643,5.431,
1657309644,5.328,
1657309645,5.42,
1657309646,5.29,
1657309647,5.435,
1657309648,5.435,
1657309649,5.435,
1657309650,5.416,
1657309651,5.355,
1657309652,5.256,
1657309653,5.26,
1657309654,5.378,
1657309655,5.496,
1657309656,5.263,
1657309657,5.409,
1657309658,5.409,
1657309659,5.409,
1657309660,5.786,
1657309661,5.97,
1657309662,6.023,
1657309663,5.924,
1657309664,5.863,
1657309665,5.996,
