time,W,
1657297889,0.0,
1657297890,5.405,
1657297891,5.405,
1657297892,5.405,
1657297893,5.71,
1657297894,5.618,
1657297895,5.618,
1657297896,5.08,
1657297897,5.653,
1657297898,5.347,
1657297899,5.347,
1657297900,5.973,
1657297901,5.775,
1657297902,5.951,
1657297903,5.962,
1657297904,5.943,
1657297905,5.847,
1657297906,5.836,
1657297907,5.836,
1657297908,5.836,
1657297909,5.836,
1657297910,5.836,
1657297911,5.771,
1657297912,4.802,
1657297913,4.878,
1657297914,4.981,
1657297915,5.076,
1657297916,5.027,
1657297917,5.05,
1657297918,4.97,
1657297919,4.97,
1657297920,4.97,
1657297921,5.145,
1657297922,5.141,
1657297923,5.523,
1657297924,5.523,
1657297925,5.378,
1657297926,5.55,
1657297927,5.103,
1657297928,5.325,
1657297929,5.412,
1657297930,5.199,
1657297931,4.958,
1657297932,4.981,
1657297933,5.443,
1657297934,5.179,
1657297935,5.538,
1657297936,5.023,
1657297937,5.023,
1657297938,5.023,
1657297939,5.023,
1657297940,5.023,
1657297941,5.592,
1657297942,5.481,
1657297943,5.466,
1657297944,5.336,
1657297945,5.065,
1657297946,4.928,
1657297947,5.515,
1657297948,5.019,
1657297949,4.844,
1657297950,4.908,
1657297951,5.015,
1657297952,5.286,
1657297953,5.092,
1657297954,5.66,
1657297955,5.534,
1657297956,4.931,
1657297957,4.931,
1657297958,4.931,
1657297959,4.931,
1657297960,4.931,
1657297961,5.172,
1657297962,5.901,
1657297963,6.008,
1657297964,6.042,
1657297965,5.951,
1657297966,5.985,
1657297967,6.019,
1657297968,5.596,
1657297969,5.382,
1657297970,5.332,
1657297971,5.027,
1657297972,5.099,
1657297973,5.21,
1657297974,5.603,
1657297975,5.649,
1657297976,5.557,
1657297977,5.557,
1657297978,5.615,
1657297979,5.504,
1657297980,5.233,
1657297981,5.179,
1657297982,5.42,
1657297983,5.416,
1657297984,5.515,
1657297985,5.428,
1657297986,5.428,
1657297987,5.618,
1657297988,5.313,
1657297989,5.546,
1657297990,5.546,
1657297991,5.271,
1657297992,5.576,
1657297993,5.076,
1657297994,4.973,
1657297995,5.386,
1657297996,5.695,
1657297997,5.183,
1657297998,4.901,
1657297999,5.096,
1657298000,5.626,
1657298001,5.233,
1657298002,5.008,
1657298003,5.313,
1657298004,4.912,
1657298005,5.428,
1657298006,5.504,
1657298007,4.981,
1657298008,5.103,
1657298009,5.065,
1657298010,5.195,
1657298011,5.649,
1657298012,5.321,
1657298013,4.825,
1657298014,4.954,
1657298015,4.893,
1657298016,5.576,
1657298017,5.576,
1657298018,5.966,
1657298019,5.931,
1657298020,5.92,
1657298021,5.92,
1657298022,5.92,
1657298023,6.008,
1657298024,5.92,
1657298025,5.992,
1657298026,5.943,
1657298027,5.973,
1657298028,5.939,
1657298029,5.409,
1657298030,5.653,
1657298031,5.561,
1657298032,5.561,
1657298033,5.286,
1657298034,5.145,
1657298035,5.68,
1657298036,5.015,
1657298037,5.179,
1657298038,5.561,
1657298039,5.576,
1657298040,5.657,
1657298041,5.16,
1657298042,5.0,
1657298043,5.004,
