time,W,
1657321440,0.0,
1657321441,3.886,
1657321442,3.886,
1657321443,3.886,
1657321444,5.179,
1657321445,5.233,
1657321446,5.233,
1657321447,5.195,
1657321448,5.221,
1657321449,5.199,
1657321450,5.183,
1657321451,5.248,
1657321452,5.183,
1657321453,5.221,
1657321454,5.21,
1657321455,5.241,
1657321456,5.241,
1657321457,5.241,
1657321458,5.252,
1657321459,5.252,
1657321460,5.267,
1657321461,5.229,
1657321462,5.267,
1657321463,5.225,
1657321464,5.244,
1657321465,5.26,
1657321466,5.244,
1657321467,5.256,
1657321468,5.263,
1657321469,5.187,
1657321470,5.267,
1657321471,5.271,
1657321472,5.279,
1657321473,5.248,
1657321474,5.237,
1657321475,5.271,
1657321476,5.244,
1657321477,5.225,
1657321478,5.229,
1657321479,5.248,
1657321480,5.241,
1657321481,5.225,
1657321482,5.26,
1657321483,5.237,
1657321484,5.256,
1657321485,5.263,
1657321486,5.271,
1657321487,5.199,
1657321488,5.221,
1657321489,5.241,
1657321490,5.267,
1657321491,5.263,
1657321492,5.225,
1657321493,5.202,
1657321494,5.26,
1657321495,5.283,
1657321496,5.256,
1657321497,5.271,
1657321498,5.241,
1657321499,5.256,
1657321500,5.241,
1657321501,5.241,
1657321502,5.241,
1657321503,5.233,
1657321504,5.233,
1657321505,5.233,
1657321506,5.233,
1657321507,5.229,
1657321508,5.275,
1657321509,5.221,
1657321510,5.263,
1657321511,5.21,
1657321512,5.221,
1657321513,5.229,
1657321514,5.237,
1657321515,5.233,
1657321516,5.237,
1657321517,5.229,
1657321518,5.191,
1657321519,5.233,
1657321520,5.221,
1657321521,5.263,
1657321522,5.248,
1657321523,5.267,
1657321524,5.202,
1657321525,5.241,
1657321526,5.229,
1657321527,5.279,
1657321528,5.21,
1657321529,5.241,
1657321530,5.309,
1657321531,5.267,
1657321532,5.229,
1657321533,5.275,
1657321534,5.275,
1657321535,5.294,
1657321536,5.237,
1657321537,5.218,
1657321538,5.252,
1657321539,5.241,
1657321540,5.267,
1657321541,5.221,
1657321542,5.271,
1657321543,5.244,
1657321544,5.279,
1657321545,5.244,
1657321546,5.283,
1657321547,5.283,
1657321548,5.283,
1657321549,5.267,
1657321550,5.221,
1657321551,5.294,
1657321552,5.26,
1657321553,5.271,
1657321554,5.279,
1657321555,5.263,
1657321556,5.275,
1657321557,5.237,
1657321558,5.275,
1657321559,5.256,
1657321560,5.214,
1657321561,5.237,
1657321562,5.237,
1657321563,5.195,
1657321564,5.244,
1657321565,5.279,
1657321566,5.241,
1657321567,5.241,
1657321568,5.229,
1657321569,5.271,
1657321570,5.252,
1657321571,5.26,
1657321572,5.225,
1657321573,5.225,
1657321574,5.248,
1657321575,5.271,
1657321576,5.225,
1657321577,5.267,
1657321578,5.26,
1657321579,5.248,
1657321580,5.248,
1657321581,5.252,
1657321582,5.267,
1657321583,5.263,
1657321584,5.218,
1657321585,5.267,
1657321586,5.229,
1657321587,5.229,
1657321588,5.229,
1657321589,5.241,
1657321590,5.241,
1657321591,5.256,
1657321592,5.275,
1657321593,5.26,
1657321594,5.279,
1657321595,5.237,
1657321596,5.267,
1657321597,5.233,
1657321598,5.248,
1657321599,5.233,
1657321600,5.218,
1657321601,5.218,
1657321602,5.241,
1657321603,5.263,
1657321604,5.279,
1657321605,5.279,
1657321606,5.221,
1657321607,5.279,
1657321608,5.271,
1657321609,5.26,
1657321610,5.275,
1657321611,5.248,
1657321612,5.244,
1657321613,5.237,
1657321614,5.283,
1657321615,5.294,
1657321616,5.275,
1657321617,5.26,
1657321618,5.275,
1657321619,5.244,
1657321620,5.267,
1657321621,5.244,
1657321622,5.29,
