,Testing,Training
0,54.52,43.858
1,66.48,60.788
2,67.25,69.504
3,75.61,74.43
4,77.98,77.586
5,79.85,79.784
6,80.76,80.994
7,83.13,82.748
8,79.65,83.746
9,84.53,84.716
10,83.15,85.698
11,83.57,86.106
12,85.31,87.114
13,85.77,87.564
14,84.91,88.052
15,85.48,88.518
16,86.73,89.02
17,87.47,89.514
18,87.91,90.05
19,87.19,90.162
20,88.26,90.736
21,87.79,91.07
22,87.42,91.582
23,87.81,91.75
24,88.9,91.994
25,88.82,92.154
26,88.02,92.406
27,88.21,92.49
28,88.18,92.888
29,88.96,93.038
30,89.37,93.528
31,88.73,93.376
32,89.3,93.732
33,88.71,94.1
34,89.37,93.878
35,89.26,94.206
36,89.29,94.39
37,89.52,94.362
38,89.36,94.542
39,89.48,94.758
40,88.89,94.818
41,89.1,95.074
42,89.66,95.054
43,90.17,95.3
44,89.5,95.456
45,89.8,95.56
46,90.13,95.68
47,90.18,95.696
48,89.84,95.756
49,89.86,95.948
50,90.05,96.026
51,91.09,96.146
52,90.62,96.162
53,89.99,96.43
54,90.34,96.282
55,90.37,96.454
56,90.45,96.514
57,90.22,96.336
58,90.06,96.586
59,90.2,96.718
60,90.15,96.72
61,90.64,96.776
62,90.53,97.012
63,90.57,96.918
64,90.72,97.116
65,90.0,97.14
66,91.29,96.97
67,90.34,97.318
68,90.29,97.148
69,91.06,97.424
70,90.47,97.102
71,90.78,97.448
72,90.58,97.456
73,90.25,97.394
74,90.55,97.45
75,90.01,97.502
76,91.11,97.498
77,90.63,97.56
78,91.12,97.65
79,90.89,97.76
80,90.69,97.594
81,90.94,97.736
82,90.93,97.832
83,90.54,97.846
84,90.77,97.77
85,91.17,97.774
86,90.97,97.86
87,91.07,97.96
88,91.02,97.844
89,91.04,98.0
90,90.38,98.034
91,90.92,97.966
92,91.17,98.11
93,90.85,98.11
94,90.9,98.09
95,91.14,98.118
96,91.17,98.226
97,90.8,98.156
98,90.87,98.172
99,91.14,98.15
100,91.16,98.338
101,90.61,98.172
102,91.04,98.32
103,91.21,98.428
104,90.9,98.244
105,91.23,98.456
106,91.29,98.346
107,91.04,98.368
108,90.66,98.424
109,91.47,98.434
110,91.46,98.314
111,91.25,98.468
112,91.17,98.54
113,91.34,98.574
114,90.92,98.418
115,90.95,98.51
116,90.86,98.414
117,90.75,98.56
118,91.19,98.574
119,90.78,98.666
120,90.72,98.484
121,91.4,98.6
122,91.53,98.682
123,91.16,98.676
124,91.07,98.376
125,90.81,98.628
126,90.88,98.648
127,91.28,98.702
128,91.08,98.652
129,91.04,98.746
130,90.97,98.79
131,90.95,98.692
132,91.14,98.762
133,91.42,98.818
134,91.05,98.756
135,91.45,98.806
136,91.66,98.768
137,91.0,98.842
138,91.8,98.758
139,91.48,98.71
140,91.62,98.8
141,91.69,98.748
142,91.5,98.836
143,91.4,98.814
144,91.1,98.77
145,91.43,98.912
146,90.72,98.928
147,91.57,98.75
148,91.38,98.916
149,91.06,98.966
150,91.79,98.962
151,90.99,98.954
152,92.17,98.868
153,91.82,98.944
154,91.7,99.014
155,90.7,98.924
156,91.57,98.956
157,91.64,98.94
158,91.6,99.008
159,92.01,98.944
160,91.07,98.974
161,91.64,99.008
162,91.29,99.008
163,92.04,98.976
164,91.35,98.938
165,91.81,99.066
166,91.28,99.112
167,91.78,98.992
168,92.02,99.018
169,91.58,99.13
170,91.83,99.106
171,91.02,98.924
172,91.74,98.984
173,91.06,99.156
174,91.64,99.124
175,92.01,99.034
176,92.03,99.132
177,92.11,99.096
178,91.57,99.042
179,91.77,99.038
180,92.21,99.114
181,91.86,99.166
182,92.21,99.092
183,91.89,99.076
184,91.86,99.132
185,91.94,99.134
186,91.79,99.22
187,91.62,99.132
188,90.97,99.084
189,91.76,99.18
190,91.43,99.13
191,91.58,99.15
192,92.16,99.284
193,91.58,99.246
194,92.01,99.122
195,91.75,99.23
196,91.19,99.118
197,91.78,99.128
198,91.66,99.308
199,91.71,99.234
