,Testing,Training
0,55.66,43.598
1,64.18,60.0
2,70.23,67.458
3,74.79,72.56
4,76.68,76.16
5,78.52,78.332
6,80.58,79.854
7,81.23,81.348
8,82.15,82.362
9,82.14,83.436
10,83.48,84.354
11,83.32,85.14
12,83.77,85.702
13,84.14,86.3
14,83.66,86.782
15,84.74,87.368
16,85.83,88.036
17,85.02,88.26
18,86.07,88.75
19,85.59,88.992
20,85.94,89.394
21,85.93,89.842
22,86.67,90.178
23,86.69,90.22
24,86.97,90.506
25,85.11,90.952
26,86.93,91.236
27,86.85,91.54
28,86.9,91.652
29,86.76,91.87
30,87.02,92.106
31,87.1,92.476
32,87.3,92.552
33,87.59,92.714
34,86.76,93.07
35,87.3,93.044
36,87.51,93.308
37,88.04,93.466
38,87.89,93.508
39,87.6,93.74
40,87.7,93.672
41,87.59,94.022
42,86.82,94.108
43,87.84,94.26
44,88.26,94.446
45,87.97,94.372
46,88.2,94.668
47,88.07,94.858
48,87.59,94.76
49,88.28,95.0
50,87.75,94.914
51,88.07,95.068
52,88.17,95.29
53,88.16,95.362
54,88.33,95.534
55,88.1,95.534
56,87.96,95.602
57,88.16,95.654
58,88.1,95.634
59,88.12,95.884
60,88.73,95.756
61,88.11,96.014
62,88.18,96.084
63,88.21,96.014
64,88.83,96.19
65,88.86,96.132
66,88.32,96.264
67,87.96,96.224
68,88.63,96.524
69,87.99,96.524
70,88.64,96.456
71,88.21,96.678
72,88.83,96.548
73,88.02,96.634
74,88.46,96.592
75,88.44,96.892
76,88.84,96.912
77,88.74,96.896
78,88.87,96.88
79,88.68,97.002
80,88.54,97.09
81,88.53,97.046
82,88.59,97.07
83,89.15,97.054
84,88.28,97.182
85,89.04,97.178
86,88.77,97.182
87,88.32,97.202
88,89.12,97.334
89,88.74,97.35
90,88.9,97.51
91,88.83,97.41
92,89.01,97.498
93,88.57,97.396
94,89.09,97.486
95,88.44,97.532
96,89.13,97.476
97,88.71,97.68
98,89.1,97.682
99,88.66,97.668
100,88.91,97.662
101,88.63,97.71
102,88.9,97.694
103,89.24,97.616
104,88.74,97.876
105,88.87,97.832
106,88.49,97.748
107,88.78,97.89
108,88.94,97.812
109,89.03,97.966
110,89.07,97.856
111,88.73,97.858
112,89.05,97.918
113,89.0,98.004
114,88.72,97.936
115,88.78,97.994
116,88.7,98.008
117,88.86,98.098
118,89.04,98.028
119,89.04,98.1
120,88.27,98.034
121,89.07,98.144
122,88.68,98.144
123,88.43,98.058
124,88.54,98.144
125,88.77,98.106
126,88.47,98.3
127,88.67,98.148
128,89.09,98.252
129,88.63,98.24
130,88.39,98.404
131,89.11,98.314
132,89.05,98.252
133,88.7,98.342
134,88.93,98.338
135,88.46,98.404
136,88.67,98.358
137,88.79,98.376
138,89.02,98.31
139,88.83,98.376
140,88.5,98.334
141,88.86,98.334
142,89.26,98.516
143,89.05,98.458
144,88.95,98.318
145,89.29,98.54
146,88.45,98.41
147,88.95,98.43
148,88.79,98.444
149,88.67,98.576
150,89.15,98.524
151,89.29,98.416
152,89.45,98.484
153,89.09,98.586
154,88.65,98.544
155,89.17,98.534
156,88.85,98.56
157,88.89,98.294
158,88.93,98.786
159,89.22,98.696
160,88.86,98.636
161,88.93,98.598
162,88.62,98.598
163,89.01,98.552
164,89.0,98.628
165,89.37,98.632
166,89.47,98.744
167,88.93,98.77
168,89.16,98.56
169,88.86,98.592
170,89.05,98.582
171,89.02,98.736
172,89.06,98.682
173,89.05,98.762
174,88.8,98.698
175,89.17,98.614
176,89.29,98.686
177,89.23,98.736
178,89.23,98.798
179,89.55,98.824
180,88.97,98.62
181,89.25,98.728
182,88.94,98.838
183,89.28,98.862
184,89.24,98.814
185,89.21,98.772
186,89.38,98.782
187,88.93,98.836
188,88.79,98.836
189,89.13,98.7
190,88.88,98.876
191,89.46,98.898
192,89.13,98.802
193,89.32,98.876
194,88.94,98.9
195,89.56,98.83
196,89.55,98.878
197,89.23,98.974
198,89.14,98.81
199,89.45,98.892
